iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
104,-0.061973095,9.139151811599731,1.5782334,1.2820327,1.2474443,1.0710478,1.2313715,1.3148144,1.2743461,1.3767246,1.5779991,1.2381394,1.2374641,0.99510837,1.2020452,1.2995436,1.2383249,1.371453
105,-0.10100114,9.329926013946533,1.5727086,1.2799156,1.2449692,1.0698729,1.230186,1.3148102,1.2750597,1.3769498,1.5761865,1.2396258,1.2374763,0.99468863,1.2009716,1.2986348,1.2375063,1.3715302
106,-0.064935565,9.301048755645752,1.5774101,1.2798989,1.2459602,1.0708321,1.2313254,1.3148127,1.2748562,1.3769497,1.5789714,1.2403163,1.2376943,0.9951565,1.2014879,1.29839,1.2382445,1.3716447
107,-0.051452637,9.203087568283081,1.5711851,1.2761544,1.2388779,1.0676216,1.2304363,1.3145725,1.2747566,1.3764079,1.5761672,1.2384629,1.2358752,0.9921706,1.2015115,1.2981375,1.2370154,1.3701462
108,-0.031860948,9.284005880355835,1.5737528,1.2757508,1.2424278,1.0657599,1.2231672,1.306877,1.270638,1.3692036,1.5723432,1.2340213,1.2314337,0.98880196,1.1956205,1.2914721,1.2340854,1.3630656
109,-0.025969625,9.520788192749023,1.564141,1.2692598,1.2363745,1.0645248,1.2294226,1.3126676,1.2749431,1.3759296,1.5694673,1.2297437,1.2314777,0.9866273,1.2001319,1.292393,1.2368183,1.3700598
110,-0.0885967,9.324426174163818,1.5787017,1.281797,1.2465861,1.0707593,1.2313678,1.3146958,1.2748368,1.3767732,1.5790108,1.2404271,1.2380925,0.99504435,1.2019806,1.2998216,1.2381626,1.3716966
111,-0.08018434,9.64046597480774,1.5788869,1.2826343,1.2474388,1.0705539,1.2300417,1.3124707,1.2729155,1.375042,1.579344,1.2405925,1.2381085,0.9952585,1.2018073,1.2999551,1.2384781,1.3712335
112,-0.078927755,9.381144762039185,1.576742,1.2796957,1.2463979,1.070937,1.2284647,1.3130867,1.2747475,1.3765572,1.5761334,1.2375758,1.2370156,0.99442637,1.201765,1.2989384,1.2384514,1.3715193
113,-0.080216765,9.435853242874146,1.575377,1.2796313,1.2449679,1.0704426,1.2299081,1.3141537,1.2747742,1.3766685,1.5773379,1.2396857,1.237399,0.9942899,1.2016612,1.299264,1.2379606,1.3713772
114,-0.084892035,9.582364559173584,1.5788093,1.2824593,1.2474304,1.070914,1.2312461,1.3145486,1.2743222,1.3765762,1.5791929,1.2406766,1.2381089,0.9951874,1.2019835,1.299108,1.2381159,1.3709458
115,-0.08932936,9.307055711746216,1.5770986,1.2810715,1.2458322,1.0707304,1.2307912,1.3142742,1.274811,1.3767712,1.5791321,1.2404631,1.2374874,0.99474764,1.2017164,1.2988628,1.2374699,1.3704938
116,-0.08017886,9.309261322021484,1.5788746,1.2825991,1.246841,1.071064,1.2309512,1.3143716,1.2748724,1.3760921,1.578948,1.2404292,1.2375642,0.9949759,1.2014893,1.2999775,1.2384473,1.3714241
117,-0.10807407,9.31615161895752,1.5784755,1.2823402,1.2474555,1.0707316,1.2314262,1.3147279,1.2744186,1.3766447,1.5776957,1.2365805,1.2377335,0.9946423,1.2020488,1.2991428,1.2384014,1.3716582
118,-0.07785654,9.34910249710083,1.5768119,1.2818154,1.2444328,1.0703256,1.2300844,1.314704,1.2744154,1.3761483,1.5785736,1.2400261,1.2374198,0.99506325,1.2003208,1.2983682,1.2350572,1.3683957
